,business_id,name,postal_code,score
1,10,TIRAMISU KITCHEN,94104,96.8
2,17,GEORGE'S COFFEE SHOP,94124,97
3,19,NRGIZE LIFESTYLE CAFE,94109,97
4,24,OMNI S.F. HOTEL - 2ND FLOOR PANTRY,94104,100
5,29,CHICO'S PIZZA,94103,88.2
6,31,NORMAN'S ICE CREAM AND FREEZES,94133,100
7,37,CAFE BISTRO,94118,96.6
8,40,MO'S COFFEE BAR,94107,99
9,45,CHARLIE'S DELI CAFE,94110,96.4
10,48,ART'S CAFE,94122,91.25
11,50,SUSHI ZONE,94103,99.2
12,54,RHODA GOLDMAN PLAZA,94115,96.4
13,56,CAFE X + O,94131,96
14,58,OASIS GRILL,94111,94
15,61,CHOWDERS,94133,93.4
16,63,"DELI-PUB CAFE, THE",94110,93.2
17,66,STARBUCKS COFFEE,94122,99.2
18,67,REVOLUTION CAFE,94110,94.8
19,71,KAPPA RESTAURANT,94115,100
20,73,DINO'S UNCLE VITO,94115,90.4
21,76,OMNI S.F. HOTEL - 3RD FLOOR PANTRY,94104,99.6
22,77,OMNI S.F. HOTEL - EMPLOYEE CAFETERIA,94104,100
23,80,LAW SCHOOL CAFE,94117,93.4
24,81,CLUB ED/BON APPETIT,94117,91.66666667
25,83,CHEZ MAMAN,94107,87.4
26,85,EL MAJAHUAL RESTAURANT,94110,87.25
27,88,J.B.'S PLACE,94107,86.2
28,95,VEGA,94110,94
29,98,XOX TRUFFLES,94133,94.25
30,99,J & M A-1 CAFE RESTAURANT LLC,94108,85.5
31,101,CABLE CAR CORNER,94108,98
32,102,AKIKO'S SUSHI BAR,94102,91.4
33,104,INO SUSHI,94115,98
34,108,RUE LEPIC,94108,87.5
35,111,PETITE DELI,94133,88.75
36,114,GOOD MONG KOK,94108,73.5
37,116,THE WATERFRONT RESTAURANT,94111,88.66666667
38,121,AKIKOS SUSHI,94108,98.66666667
39,125,CENTERFOLDS,94133,95.8
40,126,BROADWAY DIM SUM,94133,70
41,130,CAFFE MACARONI,94111,94
42,132,SILVER STAR CAFE AND DELI,94111,85.5
43,134,MINT,94102,98.5
44,140,CAFE MADELEINE,94104,95.2
45,141,AFC SUSHI @ MOLLIE STONE'S 2,94115,96.8
46,146,DEJA VU PIZZA & PASTA,94103,96.4
47,151,BUS STOP PIZZA #1,94117,93.33333333
48,155,CAFE COLE,94117,96.5
49,164,SAN FRANCISCO SOUP CO,94104,97.8
50,178,C & Y CAFE,94104,100
51,179,SECRET GARDEN TEA HOUSE,94122,92
52,180,NENAS RESTAURANT,94110,90.6
53,184,RADIO HAVANA,94110,94.33333333
54,187,TAZA WRAPS & JUICE,94132,99.5
55,190,COURTYARD BY MARRIOTT-STAFF KITCHEN,94105,99.2
56,192,ARLEQUIN,94102,95.5
57,194,BAYSIDE COFFEE SHOP,94134,89
58,198,SUBWAY,94124,96.8
59,199,TIFFANY'S CAFE,94124,87.2
60,200,JIM'S SMOKE SHOP,94107,86.4
61,201,CHEZ PAPA,94107,86
62,208,CONSTANS GROCERY,94124,89.75
63,216,SORABOL,94105,99.6
64,217,PROGRESSIVE GROUNDS,94110,100
65,221,NOODLE EXPRESS,94109,93
66,226,GRUMPY'S AMERICAN PUB,94111,90.5
67,229,BANGKOK RESTAURANT,94108,87
68,230,GLOBE EATS INC,94111,72
69,231,CAFFE PUCCINI,94133,87
70,234,NEW MOON RESTAURANT,94133,81.75
71,236,GELATO CLASSICO ITALIAN ICE,94133,95.2
72,239,JUST WONTON,94116,80.6
73,240,MIKI RESTAURANT,94121,76
74,247,TOY BOAT DESSERT CAFE,94118,96.25
75,251,BEANERY INC.,94122,89
76,253,ANN'S DONUT COFFEE SHOP,94112,97.2
77,256,MARCHE CLUB OF S.F.,94112,98
78,257,JOE'S CABLE CAR RESTAURANT,94112,96.8
79,258,VIKINGS GIANT SUBMARINE,94112,92
80,260,MONTEREY PIZZA,94127,90.83333333
81,264,MELT!,94133,86.75
82,267,ASA SUSHI,94123,82.4
83,268,LOS HERMANOS,94123,94.2
84,272,ON THE BRIDGE,94115,89.16666667
85,273,HAI SUN RESTAURANT,94123,82.2
86,275,BEN & JERRY'S,94102,90.83333333
87,276,CORSAGNA,94123,99
88,279,INGA DONUTS,94109,97.33333333
89,281,PARMA RESTAURANT,94123,95
90,283,HAI KY MI GIA,94109,98
91,285,VAN NESS KENO ICE CREAM,94102,99.5
92,286,PUNJAB KABAB HOUSE,94102,64.5
93,290,BISTRO AIX,94123,90.6
94,298,BAMBOO RESTAURANT,94109,92.2
95,299,YUKOL PLACE THAI CUISINE,94123,86.66666667
96,300,SUBWAY,94109,93.6
97,302,MOULIN ROUGE,94109,94.5
98,305,PACIFIC CATCH,94123,95.2
99,315,THE POSH BAGEL,94114,90.2
100,318,FIRST CUP,94109,90.6
101,319,UNION STREET COFFEE ROASTERY,94123,95.16666667
102,320,NAPOLI PIZZA RESTAURANT,94109,88.16666667
103,323,WAYO,94109,98.33333333
104,325,MIFUNE RESTAURANT,94115,86
105,326,TEN ICHI RESTAURANT,94115,81.4
106,328,MIYAKO,94115,92.66666667
107,332,NANI'S COFFEE,94118,100
108,335,POLKERS,94109,82.8
109,337,GORDO TAQUERIA #2,94122,82.6
110,379,GIANT SCOOP,94134,84.33333333
111,380,COFFEE CHOICE,94107,98.4
112,383,KING LING,94102,93.6
113,384,RINCONSITO SALVADORENO,94110,93.8
114,385,REINA RESTAURANT,94112,85.6
115,386,ADELITA'S CAKES,94110,88
116,389,CAFE ELENA,94105,100
117,393,SUPER STAR RESTAURANT,94112,92.33333333
118,394,SF MARRIOTT HOTEL PANTRY 5/F,94103,99.6
119,395,SF MARRIOTT HOTEL PANTRY 4/F,94103,99.6
120,397,SF MARRIOTT VIEW LOUNGE PANTRY,94103,94.66666667
