postal_code,business_id,name,score,price.per.square.foot
92672,64660,HAIGHT STREET MARKET,96.5,432
94013,37169,INTERCONTINENTAL SAN FRANCISCO 4TH FL. KITCHEN,99.33333333,NA
94013,37167,INTERCONTINENTAL SAN FRANCISCO EMPLOYEE CAFETERIA,97.33333333,NA
94014,74674,ELI'S HOT DOGS,90.5,437
94014,75630,NEWASIA ASIAN CUISINE,76,437
94066,5757,"RICO VENDING, INC",100,469
94101,65856,BAMBOO ASIA,95.75,NA
94102,62552,HOTEL NIKKO SF - BANQUET PREP/SERVICE ROOM,96.8,745
94102,3761,BURGER KING #4474,96.2,745
94102,61823,SUSHI DELIGHT,91.5,745
94102,64745,MINT,100,745
94102,59744,CLIFT HOTEL - BANQUET KITCHEN,98,745
94102,4905,SUPER SAM FOOD,100,745
94102,3384,POSTRIO RESTAURANT,89.25,745
94102,3019,TAD'S,82.75,745
94102,62551,HOTEL NIKKO-SAN FRANCISCO - HARMONY ROOM,95.2,745
94102,60561,SALAMA HALAL MEAT,92.4,745
94102,64351,FATTED CALF SF,94.25,745
94102,65914,TASTE,95.2,745
94102,33017,LARKSPUR HOTEL - UNION SQUARE,99.66666667,745
94102,68626,BALO VIETNAMESE EATERY,100,745
94102,67696,AUNTIE ANNIE'S USQ,91.25,745
94102,34839,BRENDA'S FRENCH SOUL FOOD,87.25,745
94102,19271,BANGKOK NOODLES & THAI BBQ,69.75,745
94102,39937,CHANTAL GUILLON,99,745
94102,62302,DONUT WORLD,79,745
94102,2592,STARBUCKS COFFEE,99.2,745
94102,192,ARLEQUIN,95.5,745
94102,2828,JOEY'S,91.6,745
94102,6660,TUONG PHONG MARKET,92.85714286,745
94102,26343,BIEN HOA,83.75,745
94102,35690,GREEN VALLEY MARKET,80,745
94102,2955,CAFFE DELLE STELLE,90.75,745
94102,65283,SUBWAY,97.75,745
94102,70418,SAN FRANCISCO COOKING SCHOOL,100,745
94102,60855,MINT,95,745
94102,69492,BAY AREA LITTLE JOHN'S CANDIES,100,745
94102,39495,MACY'S WEST - STARBUCKS COFFEE COMPANY,95.6,745
94102,68360,PHARAOHS,84.75,745
94102,67693,JW MARRIOTT SF - CONCIERGE LOUNGE,99,745
94102,3495,RYOKO'S,90,745
94102,74531,CHICO'S PIZZA,97,745
94102,2898,THE CHEESECAKE FACTORY,75,745
94102,66979,THE HUMMUS GUY,100,745
94102,16806,KUSINA NI TESS,83,745
94102,67683,JW MARRIOTT SF - BANQUET FACILITY,99,745
94102,72117,PROPOSITION CHICKEN,100,745
94102,37173,CELTIC COFFEE COMPANY,83.6,745
94102,2833,LEFTY O`DOUL`S,78.4,745
94102,38606,MILAN,91.2,745
94102,33319,"GYRO KING, INC",80.75,745
94102,71962,ENO,96,745
94102,40029,INFUSION LOUNGE,94.8,745
94102,67691,JW MARRIOTT SF - RESTAURANT & BAR,96.5,745
94102,66986,MOMI TOBY'S REVOLUTION CAFE & ART BAR,94.66666667,745
94102,2671,MANDARIN VILLA RESTAURANT,71.6,745
94102,9765,WINDSOR TEAROOM,96,745
94102,9796,BROOKLYN PIZZA & RESTAURANT,76.75,745
94102,66898,ANTIQUITY JUICE COMPANY,100,745
94102,28468,BELLA LUCCA,95.8,745
94102,71353,J TU CAFE,100,745
94102,3374,DAILY GRILL,95.5,745
94102,62550,ANZU RESTAURANT,94.8,745
94102,69495,ACRE COFFEE,94,745
94102,63619,SUBWAY SANDWICHES,99.5,745
94102,73906,FIG AND THISTLE,100,745
94102,74626,WALGREENS,94,745
94102,64008,JONES,92,745
94102,7652,GROVE ST. MARKET,94,745
94102,7791,SF HILTON - PASTRY/BAKERY,98,745
94102,3707,ZINGARI,94.5,745
94102,695,BARBARY COAST PASTRY & COFFEE,95.6,745
